STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,,INDICATOR,,MEASURE,,INEQUALITY,,OBS_VALUE,,OBS_STATUS,,UNIT_MEASURE,,UNIT_MULT,,BASE_PER,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHE,,PS_FSAFEN,,L,,MN,,91,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,TUR,,PS_FSAFEN,,L,,MN,,72,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GBR,,PS_FSAFEN,,L,,MN,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,USA,,PS_FSAFEN,,L,,MN,,88,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BRA,,PS_FSAFEN,,L,,MN,,55,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CHL,,PS_FSAFEN,,L,,MN,,53,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,EST,,PS_FSAFEN,,L,,MN,,90,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISR,,PS_FSAFEN,,L,,MN,,83,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LVA,,PS_FSAFEN,,L,,MN,,87,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,RUS,,PS_FSAFEN,,L,,MN,,74,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVN,,PS_FSAFEN,,L,,MN,,95,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ZAF,,PS_FSAFEN,,L,,MN,,46,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,OECD,,PS_FSAFEN,,L,,MN,,82,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,AUT,,PS_FSAFEN,,L,,WMN,,82,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,BEL,,PS_FSAFEN,,L,,WMN,,47,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CAN,,PS_FSAFEN,,L,,WMN,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,CZE,,PS_FSAFEN,,L,,WMN,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DNK,,PS_FSAFEN,,L,,WMN,,77,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FIN,,PS_FSAFEN,,L,,WMN,,80,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,FRA,,PS_FSAFEN,,L,,WMN,,70,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,DEU,,PS_FSAFEN,,L,,WMN,,69,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,GRC,,PS_FSAFEN,,L,,WMN,,59,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,HUN,,PS_FSAFEN,,L,,WMN,,65,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ISL,,PS_FSAFEN,,L,,WMN,,78,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,IRL,,PS_FSAFEN,,L,,WMN,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ITA,,PS_FSAFEN,,L,,WMN,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,JPN,,PS_FSAFEN,,L,,WMN,,69,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,KOR,,PS_FSAFEN,,L,,WMN,,77,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,LUX,,PS_FSAFEN,,L,,WMN,,84,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,MEX,,PS_FSAFEN,,L,,WMN,,32,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NLD,,PS_FSAFEN,,L,,WMN,,72,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NZL,,PS_FSAFEN,,L,,WMN,,53,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,NOR,,PS_FSAFEN,,L,,WMN,,89,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,POL,,PS_FSAFEN,,L,,WMN,,63,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,PRT,,PS_FSAFEN,,L,,WMN,,75,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,SVK,,PS_FSAFEN,,L,,WMN,,67,,A,,PC,,0,,,
DATAFLOW,OECD:DF_BLI(1.0),,I,ESP,,PS_FSAFEN,,L,,WMN,,75,,A,,PC,,0,,,
